,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
0,28,admin.,single,university.degree,no,yes,no,telephone,may,fri,1128.0,3,999,0,nonexistent,no
1,30,admin.,single,university.degree,no,no,no,cellular,may,thu,199.0,1,999,0,nonexistent,no
2,49,self-employed,divorced,university.degree,no,yes,no,cellular,jul,wed,1124.0,2,999,0,nonexistent,yes
3,33,management,married,high.school,no,yes,no,telephone,may,fri,178.0,2,999,0,nonexistent,no
4,50,services,married,unknown,unknown,no,no,telephone,may,tue,144.0,1,999,0,nonexistent,no
5,51,housemaid,divorced,high.school,no,yes,no,cellular,jul,thu,241.0,2,999,0,nonexistent,no
6,56,management,divorced,university.degree,no,no,no,cellular,sep,tue,277.0,1,999,1,failure,yes
7,38,admin.,married,unknown,no,yes,no,cellular,jul,wed,481.0,3,999,0,nonexistent,yes
8,30,services,single,high.school,no,no,no,cellular,nov,mon,104.0,2,999,0,nonexistent,no
9,49,admin.,divorced,university.degree,unknown,yes,yes,cellular,aug,fri,557.0,5,999,0,nonexistent,no
10,38,technician,married,university.degree,no,unknown,unknown,cellular,may,thu,86.0,1,999,1,failure,no
11,30,admin.,single,university.degree,no,no,no,cellular,nov,thu,88.0,2,999,0,nonexistent,no
12,36,technician,married,university.degree,no,yes,no,cellular,may,fri,285.0,1,999,1,failure,no
13,39,services,married,high.school,unknown,yes,no,telephone,may,tue,24.0,1,999,0,nonexistent,no
14,32,admin.,married,university.degree,no,yes,no,telephone,may,thu,70.0,1,999,0,nonexistent,no
15,33,services,married,high.school,no,no,no,telephone,nov,tue,158.0,1,999,0,nonexistent,yes
16,37,admin.,married,university.degree,no,no,no,cellular,aug,wed,996.0,1,999,0,nonexistent,yes
17,27,self-employed,married,basic.9y,no,yes,no,cellular,may,wed,285.0,2,999,0,nonexistent,no
18,38,student,single,unknown,no,no,yes,cellular,mar,mon,248.0,1,3,4,success,yes
19,33,admin.,single,university.degree,no,yes,no,cellular,oct,thu,759.0,1,3,3,success,yes
20,33,blue-collar,single,basic.6y,no,unknown,unknown,telephone,may,fri,833.0,1,999,0,nonexistent,yes
